FirstKO	FirstMu	FirstSubpoolID	FirstSubpoolNum	EsKcatNum	DKO	DKOMu	DKOSubpoolID	DKOSubpoolNum
usage_prot_P09832_5	0.08	subpool_P09832	0.0217022791287036	0.0475136796495964	usage_prot_P09832_5	0.08	subpool_P09832	0.0217022791287036
usage_prot_P09832_5	0.08	subpool_P09832	0.0217022791287036	0.0475136796495964	usage_prot_P0A6B7_5	0.08	subpool_P0A6B7	0.0217022791287036
usage_prot_P09832_5	0.08	subpool_P09832	0.0217022791287036	0.0475136796495964	usage_prot_P0A6R0_5	0.08	subpool_P0A6R0	0.0217022791287036
usage_prot_P09832_5	0.08	subpool_P09832	0.0217022791287036	0.0475136796495964	usage_prot_P0AC13_5	0.08	subpool_P0AC13	0.0217022791287036
usage_prot_P09832_5	0.08	subpool_P09832	0.0217022791287036	0.0475136796495964	usage_prot_P38038_5	0.08	subpool_P38038	0.0217022791285899
usage_prot_P0A6B7_5	0.08	subpool_P0A6B7	0.000229989197237046	6.47217043840489e-05	usage_prot_P09832_5	0.08	subpool_P09832	0.000229989197237046
usage_prot_P0A6B7_5	0.08	subpool_P0A6B7	0.000229989197237046	6.47217043840489e-05	usage_prot_P0A6B7_5	0.08	subpool_P0A6B7	0.000229989197237046
usage_prot_P0A6B7_5	0.08	subpool_P0A6B7	0.000229989197237046	6.47217043840489e-05	usage_prot_P0A6R0_5	0.08	subpool_P0A6R0	0.000229989197237046
usage_prot_P0A6B7_5	0.08	subpool_P0A6B7	0.000229989197237046	6.47217043840489e-05	usage_prot_P0AC13_5	0.08	subpool_P0AC13	0.000229989197237046
usage_prot_P0A6B7_5	0.08	subpool_P0A6B7	0.000229989197237046	6.47217043840489e-05	usage_prot_P38038_5	0.08	subpool_P38038	0.000229989197237046
usage_prot_P0A6R0_5	0.08	subpool_P0A6R0	0	0.000359363982444965	usage_prot_P09832_5	0.08	subpool_P09832	0
usage_prot_P0A6R0_5	0.08	subpool_P0A6R0	0	0.000359363982444965	usage_prot_P0A6B7_5	0.08	subpool_P0A6B7	6.6203938331455e-08
usage_prot_P0A6R0_5	0.08	subpool_P0A6R0	0	0.000359363982444965	usage_prot_P0A6R0_5	0.08	subpool_P0A6R0	0
usage_prot_P0A6R0_5	0.08	subpool_P0A6R0	0	0.000359363982444965	usage_prot_P0AC13_5	0.08	subpool_P0AC13	0
usage_prot_P0A6R0_5	0.08	subpool_P0A6R0	0	0.000359363982444965	usage_prot_P38038_5	0.08	subpool_P38038	0
usage_prot_P0AC13_5	0.08	subpool_P0AC13	5.11629791617452e-05	0.00020306023199996	usage_prot_P09832_5	0.08	subpool_P09832	5.11629791617452e-05
usage_prot_P0AC13_5	0.08	subpool_P0AC13	5.11629791617452e-05	0.00020306023199996	usage_prot_P0A6B7_5	0.08	subpool_P0A6B7	5.11629791617452e-05
usage_prot_P0AC13_5	0.08	subpool_P0AC13	5.11629791617452e-05	0.00020306023199996	usage_prot_P0A6R0_5	0.08	subpool_P0A6R0	5.11629791617452e-05
usage_prot_P0AC13_5	0.08	subpool_P0AC13	5.11629791617452e-05	0.00020306023199996	usage_prot_P0AC13_5	0.08	subpool_P0AC13	5.11629791617452e-05
usage_prot_P0AC13_5	0.08	subpool_P0AC13	5.11629791617452e-05	0.00020306023199996	usage_prot_P38038_5	0.08	subpool_P38038	5.11629791617452e-05
usage_prot_P38038_5	0.08	subpool_P38038	0.0147334542432418	0.0147334542431999	usage_prot_P09832_5	0.08	subpool_P09832	0.0147334542432418
usage_prot_P38038_5	0.08	subpool_P38038	0.0147334542432418	0.0147334542431999	usage_prot_P0A6B7_5	0.08	subpool_P0A6B7	0.0147334542432418
usage_prot_P38038_5	0.08	subpool_P38038	0.0147334542432418	0.0147334542431999	usage_prot_P0A6R0_5	0.08	subpool_P0A6R0	0.0147334542432418
usage_prot_P38038_5	0.08	subpool_P38038	0.0147334542432418	0.0147334542431999	usage_prot_P0AC13_5	0.08	subpool_P0AC13	0.0147334542432418
usage_prot_P38038_5	0.08	subpool_P38038	0.0147334542432418	0.0147334542431999	usage_prot_P38038_5	0.08	subpool_P38038	0.0147334542432418
